Size,,Group,Population,Shape,Colour,Filling,Pattern,,
10,,AFRICAN,AFR__Gambia_GWD_Gambian,circle_cross,#fc8a6a,#b0614a,AFR (Reds),,
10,,AFRICAN,AFR__Guinea_Mandenka,square_x,#fb7d5d,#b05841,AMR (Oranges),,
10,,AFRICAN,AFR__SierraLeone_MSL_Mende,triangle_dot,#fb7151,#b04f39,MID (Pink/Magenta),,
10,,AFRICAN,AFR__Nigeria_ESN_Esan,circle_x,#fa6547,#af4731,CSA (Greens),,
10,,AFRICAN,AFR__Nigeria_YRI_Yoruba,diamond,#f6563d,#ac3c2b,EAS (Blues),,
10,,AFRICAN,AFR__Nigeria_Yoruba,triangle_dot,#f24734,#aa3224,EUR (Purples),,
10,,AFRICAN,AFR__Kenya_LWK_Luhya,square_cross,#ed392b,#a6281e,OCE (Grays),,
10,,AFRICAN,AFR__Kenya_BantuKenya,hex_dot,#e22e27,#9e201b,,,
10,,AFRICAN,AFR__SouthAfrica_BantuSA,cross,#d72322,#961918,,,
10,,AFRICAN,AFR__CAR_Biaka,hex_dot,#cb181d,#8e1114,,,
10,,AFRICAN,AFR__DRC_Mbuti,square_dot,#c1161b,#870f13,,,
10,,AFRICAN,AFR__Namibia_San,triangle_dot,#b51318,#7e0d11,,,
10,,AFRICAN,AFR__USA_ASW_Afr-American,square_x,#a91016,#760b0f,,,
10,,AFRICAN,AFR__Barbados_ACB_Afr-Caribbean,square,#980c13,#6a080d,,,
10,,AMERICAN,AMR__Mexico_MXL_Mexican,square_x,#fda762,#b17544,,,
10,,AMERICAN,AMR__USA_PUR_Puerto-Rican,star,#fd974a,#b16a34,,,
10,,AMERICAN,AMR__Colombia_CLM_Colombian,triangle,#fb8634,#af5e24,,,
10,,AMERICAN,AMR__Colombia_Colombian,diamond_dot,#f5741f,#ab5116,,,
10,,AMERICAN,AMR__Mexico_Maya,square_cross,#ec620f,#a5450b,,,
10,,AMERICAN,AMR__Mexico_Pima,diamond,#e05206,#9d3904,,,
10,,AMERICAN,AMR__Peru_PEL_Peruvian,diamond_dot,#ce4401,#903001,,,
10,,AMERICAN,AMR__Brazil_Karitiana,triangle,#b53b02,#7e2902,,,
10,,AMERICAN,AMR__Brazil_Surui,hex_dot,#9e3303,#6e2402,,,
10,,MIDDLE EASTERN,MID__Algeria_Mozabite,circle_cross,#f196c8,#a8698c,,,
10,,MIDDLE EASTERN,MID__Israel_Bedouin,x,#e66ba7,#a14b75,,,
10,,MIDDLE EASTERN,MID__Israel_Druze,circle_dot,#d33c81,#932a5a,,,
10,,MIDDLE EASTERN,MID__Israel_Palestinian,circle,#ae1c5e,#7a1342,,,
